,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Normalized Fare
0,1,0,3,0,22.0,1,0,7.25,-0.5
1,2,1,1,1,38.0,1,0,71.2833,0.79
2,3,1,3,1,26.0,0,0,7.925,-0.49
3,4,1,1,1,35.0,1,0,53.1,0.42
4,5,0,3,0,35.0,0,0,8.05,-0.49
5,6,0,3,0,29.7,0,0,8.4583,-0.48
6,7,0,1,0,54.0,0,0,51.8625,0.4
7,8,0,3,0,2.0,3,1,21.075,-0.22
8,9,1,3,1,27.0,0,2,11.1333,-0.42
9,10,1,2,1,14.0,1,0,30.0708,-0.04
10,11,1,3,1,4.0,1,1,16.7,-0.31
11,12,1,1,1,58.0,0,0,26.55,-0.11
12,13,0,3,0,20.0,0,0,8.05,-0.49
13,14,0,3,0,39.0,1,5,31.275,-0.02
14,15,0,3,1,14.0,0,0,7.8542,-0.49
15,16,1,2,1,55.0,0,0,16.0,-0.33
16,17,0,3,0,2.0,4,1,29.125,-0.06
17,18,1,2,0,29.7,0,0,13.0,-0.39
18,19,0,3,1,31.0,1,0,18.0,-0.29
19,20,1,3,1,29.7,0,0,7.225,-0.5
20,21,0,2,0,35.0,0,0,26.0,-0.12
21,22,1,2,0,34.0,0,0,13.0,-0.39
22,23,1,3,1,15.0,0,0,8.0292,-0.49
23,24,1,1,0,28.0,0,0,35.5,0.07
24,25,0,3,1,8.0,3,1,21.075,-0.22
25,26,1,3,1,38.0,1,5,31.3875,-0.02
26,27,0,3,0,29.7,0,0,7.225,-0.5
27,28,0,1,0,19.0,3,2,263.0,4.64
28,29,1,3,1,29.7,0,0,7.8792,-0.49
29,30,0,3,0,29.7,0,0,7.8958,-0.49
30,31,0,1,0,40.0,0,0,27.7208,-0.09
31,32,1,1,1,29.7,1,0,146.5208,2.3
32,33,1,3,1,29.7,0,0,7.75,-0.49
33,34,0,2,0,66.0,0,0,10.5,-0.44
34,35,0,1,0,28.0,1,0,82.1708,1.01
35,36,0,1,0,42.0,1,0,52.0,0.4
36,37,1,3,0,29.7,0,0,7.2292,-0.5
37,38,0,3,0,21.0,0,0,8.05,-0.49
38,39,0,3,1,18.0,2,0,18.0,-0.29
39,40,1,3,1,14.0,1,0,11.2417,-0.42
40,41,0,3,1,40.0,1,0,9.475,-0.46
41,42,0,2,1,27.0,1,0,21.0,-0.23
42,43,0,3,0,29.7,0,0,7.8958,-0.49
43,44,1,2,1,3.0,1,2,41.5792,0.19
44,45,1,3,1,19.0,0,0,7.8792,-0.49
45,46,0,3,0,29.7,0,0,8.05,-0.49
46,47,0,3,0,29.7,1,0,15.5,-0.34
47,48,1,3,1,29.7,0,0,7.75,-0.49
48,49,0,3,0,29.7,2,0,21.6792,-0.21
49,50,0,3,1,18.0,1,0,17.8,-0.29
50,51,0,3,0,7.0,4,1,39.6875,0.15
51,52,0,3,0,21.0,0,0,7.8,-0.49
52,53,1,1,1,49.0,1,0,76.7292,0.9
53,54,1,2,1,29.0,1,0,26.0,-0.12
54,55,0,1,0,65.0,0,1,61.9792,0.6
55,56,1,1,0,29.7,0,0,35.5,0.07
56,57,1,2,1,21.0,0,0,10.5,-0.44
57,58,0,3,0,28.5,0,0,7.2292,-0.5
58,59,1,2,1,5.0,1,2,27.75,-0.09
59,60,0,3,0,11.0,5,2,46.9,0.3
60,61,0,3,0,22.0,0,0,7.2292,-0.5
61,62,1,1,1,38.0,0,0,80.0,0.96
62,63,0,1,0,45.0,1,0,83.475,1.03
63,64,0,3,0,4.0,3,2,27.9,-0.09
64,65,0,1,0,29.7,0,0,27.7208,-0.09
65,66,1,3,0,29.7,1,1,15.2458,-0.34
66,67,1,2,1,29.0,0,0,10.5,-0.44
67,68,0,3,0,19.0,0,0,8.1583,-0.48
68,69,1,3,1,17.0,4,2,7.925,-0.49
69,70,0,3,0,26.0,2,0,8.6625,-0.47
70,71,0,2,0,32.0,0,0,10.5,-0.44
71,72,0,3,1,16.0,5,2,46.9,0.3
72,73,0,2,0,21.0,0,0,73.5,0.83
73,74,0,3,0,26.0,1,0,14.4542,-0.36
74,75,1,3,0,32.0,0,0,56.4958,0.49
75,76,0,3,0,25.0,0,0,7.65,-0.49
76,77,0,3,0,29.7,0,0,7.8958,-0.49
77,78,0,3,0,29.7,0,0,8.05,-0.49
78,79,1,2,0,0.83,0,2,29.0,-0.06
79,80,1,3,1,30.0,0,0,12.475,-0.4
80,81,0,3,0,22.0,0,0,9.0,-0.47
81,82,1,3,0,29.0,0,0,9.5,-0.46
82,83,1,3,1,29.7,0,0,7.7875,-0.49
83,84,0,1,0,28.0,0,0,47.1,0.3
84,85,1,2,1,17.0,0,0,10.5,-0.44
85,86,1,3,1,33.0,3,0,15.85,-0.33
86,87,0,3,0,16.0,1,3,34.375,0.04
87,88,0,3,0,29.7,0,0,8.05,-0.49
88,89,1,1,1,23.0,3,2,263.0,4.64
89,90,0,3,0,24.0,0,0,8.05,-0.49
90,91,0,3,0,29.0,0,0,8.05,-0.49
91,92,0,3,0,20.0,0,0,7.8542,-0.49
92,93,0,1,0,46.0,1,0,61.175,0.58
93,94,0,3,0,26.0,1,2,20.575,-0.23
94,95,0,3,0,59.0,0,0,7.25,-0.5
95,96,0,3,0,29.7,0,0,8.05,-0.49
96,97,0,1,0,71.0,0,0,34.6542,0.05
97,98,1,1,0,23.0,0,1,63.3583,0.63
98,99,1,2,1,34.0,0,1,23.0,-0.19
99,100,0,2,0,34.0,1,0,26.0,-0.12
100,101,0,3,1,28.0,0,0,7.8958,-0.49
101,102,0,3,0,29.7,0,0,7.8958,-0.49
102,103,0,1,0,21.0,0,1,77.2875,0.91
103,104,0,3,0,33.0,0,0,8.6542,-0.47
104,105,0,3,0,37.0,2,0,7.925,-0.49
105,106,0,3,0,28.0,0,0,7.8958,-0.49
106,107,1,3,1,21.0,0,0,7.65,-0.49
107,108,1,3,0,29.7,0,0,7.775,-0.49
108,109,0,3,0,38.0,0,0,7.8958,-0.49
109,110,1,3,1,29.7,1,0,24.15,-0.16
110,111,0,1,0,47.0,0,0,52.0,0.4
111,112,0,3,1,14.5,1,0,14.4542,-0.36
112,113,0,3,0,22.0,0,0,8.05,-0.49
113,114,0,3,1,20.0,1,0,9.825,-0.45
114,115,0,3,1,17.0,0,0,14.4583,-0.36
115,116,0,3,0,21.0,0,0,7.925,-0.49
116,117,0,3,0,70.5,0,0,7.75,-0.49
117,118,0,2,0,29.0,1,0,21.0,-0.23
118,119,0,1,0,24.0,0,1,247.5208,4.33
119,120,0,3,1,2.0,4,2,31.275,-0.02
120,121,0,2,0,21.0,2,0,73.5,0.83
121,122,0,3,0,29.7,0,0,8.05,-0.49
122,123,0,2,0,32.5,1,0,30.0708,-0.04
123,124,1,2,1,32.5,0,0,13.0,-0.39
124,125,0,1,0,54.0,0,1,77.2875,0.91
125,126,1,3,0,12.0,1,0,11.2417,-0.42
126,127,0,3,0,29.7,0,0,7.75,-0.49
127,128,1,3,0,24.0,0,0,7.1417,-0.5
128,129,1,3,1,29.7,1,1,22.3583,-0.2
129,130,0,3,0,45.0,0,0,6.975,-0.51
130,131,0,3,0,33.0,0,0,7.8958,-0.49
131,132,0,3,0,20.0,0,0,7.05,-0.51
132,133,0,3,1,47.0,1,0,14.5,-0.36
133,134,1,2,1,29.0,1,0,26.0,-0.12
134,135,0,2,0,25.0,0,0,13.0,-0.39
135,136,0,2,0,23.0,0,0,15.0458,-0.35
136,137,1,1,1,19.0,0,2,26.2833,-0.12
137,138,0,1,0,37.0,1,0,53.1,0.42
138,139,0,3,0,16.0,0,0,9.2167,-0.46
139,140,0,1,0,24.0,0,0,79.2,0.95
140,141,0,3,1,29.7,0,2,15.2458,-0.34
141,142,1,3,1,22.0,0,0,7.75,-0.49
142,143,1,3,1,24.0,1,0,15.85,-0.33
143,144,0,3,0,19.0,0,0,6.75,-0.51
144,145,0,2,0,18.0,0,0,11.5,-0.42
145,146,0,2,0,19.0,1,1,36.75,0.09
146,147,1,3,0,27.0,0,0,7.7958,-0.49
147,148,0,3,1,9.0,2,2,34.375,0.04
148,149,0,2,0,36.5,0,2,26.0,-0.12
149,150,0,2,0,42.0,0,0,13.0,-0.39
150,151,0,2,0,51.0,0,0,12.525,-0.4
151,152,1,1,1,22.0,1,0,66.6,0.69
152,153,0,3,0,55.5,0,0,8.05,-0.49
153,154,0,3,0,40.5,0,2,14.5,-0.36
154,155,0,3,0,29.7,0,0,7.3125,-0.5
155,156,0,1,0,51.0,0,1,61.3792,0.59
156,157,1,3,1,16.0,0,0,7.7333,-0.49
157,158,0,3,0,30.0,0,0,8.05,-0.49
158,159,0,3,0,29.7,0,0,8.6625,-0.47
159,160,0,3,0,29.7,8,2,69.55,0.75
160,161,0,3,0,44.0,0,1,16.1,-0.32
161,162,1,2,1,40.0,0,0,15.75,-0.33
162,163,0,3,0,26.0,0,0,7.775,-0.49
163,164,0,3,0,17.0,0,0,8.6625,-0.47
164,165,0,3,0,1.0,4,1,39.6875,0.15
165,166,1,3,0,9.0,0,2,20.525,-0.23
166,167,1,1,1,29.7,0,1,55.0,0.46
167,168,0,3,1,45.0,1,4,27.9,-0.09
168,169,0,1,0,29.7,0,0,25.925,-0.13
169,170,0,3,0,28.0,0,0,56.4958,0.49
170,171,0,1,0,61.0,0,0,33.5,0.03
171,172,0,3,0,4.0,4,1,29.125,-0.06
172,173,1,3,1,1.0,1,1,11.1333,-0.42
173,174,0,3,0,21.0,0,0,7.925,-0.49
174,175,0,1,0,56.0,0,0,30.6958,-0.03
175,176,0,3,0,18.0,1,1,7.8542,-0.49
176,177,0,3,0,29.7,3,1,25.4667,-0.14
177,178,0,1,1,50.0,0,0,28.7125,-0.07
178,179,0,2,0,30.0,0,0,13.0,-0.39
179,180,0,3,0,36.0,0,0,0.0,-0.65
180,181,0,3,1,29.7,8,2,69.55,0.75
181,182,0,2,0,29.7,0,0,15.05,-0.35
182,183,0,3,0,9.0,4,2,31.3875,-0.02
